Hisse,Adı,Sektör,Alt Grup,Açıklama,Beta,Fiyat/Kazanç Oranı,PD/DD Oranı,Fiyat/Satış Oranı,Kâr Marjı (%),Dolaşımdaki Lot,Toplam Gelir,Net Kâr,Son Kapanış Fiyatı,52 Hafta En Yüksek,52 Hafta En Düşük,Ortalama Hacim (10 gün),Temettü Verimi (%),Son Temettü Tarihi,Piyasa Değeri,Son Fiyat,1 Ay Değişim (%),3 Ay Değişim (%),6 Ay Değişim (%),1 Yıl Değişim (%),3 Yıl Değişim (%),5 Yıl Değişim (%),Volatilite
AYCES.IS,ALTINYUNUS CESME,Consumer Cyclical,Resorts & Casinos,"Altin Yunus Çesme Turistik Tesisler A.S. operates a hotel in Turkey. It provides various facilities that covers wedding and banquet, meeting and conference, spa, and catering, as well as events. The company was founded in 1972 and is based in Izmir, Turkey. Altin Yunus Çesme Turistik Tesisler A.S. is a subsidiary of Yasar Holding A.S.",0.865,Bilinmiyor,4.149707,62.324516,-27.242002,25000000,209789040,-57151088,511,1615,390,174647,,Bilinmiyor,13075000320,523,2.549019607843137,10.687830687830688,-22.05663189,3.564356435643564,,5145.737071137119,0.7470911215197679
AYDEM.IS,AYDEM ENERJI,Utilities,Utilities - Renewable,"Aydem Yenilenebilir Enerji A.S. engages in renewable energy generation in Turkey. The company operates 20 hydroelectric, 3 wind, and 1 geothermal power plants with a total installed capacity of 1,180 megawatts. It also produces electricity using solar resources. The company was incorporated in 1995 and is based in Merkezefendi, Turkey. Aydem Yenilenebilir Enerji A.S. operates as a subsidiary of Aydem Enerji Yatirimlari Anonim Sirketi.",0.135,Bilinmiyor,0.3920331,3.543053,-39.224,705000000,4695950336,-1841954432,23.16,38.36,15.75,4083528,2.31,Bilinmiyor,16638000128,23.600000381469727,-5.448712952,-12.39792163,-31.02275026,45.744282870154315,,162.62671993831034,0.4938244648131768
AYEN.IS,AYEN ENERJI,Utilities,Utilities - Independent Power Producers,"Ayen Enerji A.S., together with its subsidiaries, engages in the production, distribution, and trading of electricity in Turkey and internationally. It generates electricity through hydroelectric and wind sources. Ayen Enerji A.S. was incorporated in 1990 and is based in Ankara, Turkey. Ayen Enerji A.S. operates as a subsidiary of Aydiner Insaat AS.",1.216,10.654411,0.83068186,2.1825302,28.875,277500000,3684691200,1063951104,29,38,21.5,670128,12.76,Bilinmiyor,8041949696,28.979999542236328,-5.390344549,1.3471269096804637,2.170053514340582,48.61099238080744,,826.7523414899624,0.5996916017901527
AYES.IS,AYES CELIK HASIR VE CIT,Basic Materials,Steel,"Ayes Celik Hasir Ve Cit Sanayi A.S. manufactures and sells wire meshes in Turkey. The company offers Q- and R-type wire meshes, fence meshes, and special wire meshes; and coil bar-wire rods, cut deformed bars, stirrup rebars, and steel rebars. It also provides drawing, wire cutting, butt welding, and mesh bending machines; panel fences and cage wire meshes; and reinforcement stands. The company was founded in 1978 and is headquartered in Istanbul, Turkey.",0.296,Bilinmiyor,0.82564104,0.18763024,-1.329,150000000,6435530240,-85531216,8.1,13.214797,5.273896,200721,0.72000003,Bilinmiyor,1207500032,8.050000190734863,-10.45605789,-11.73245294,-16.49488391,50.32164702366758,,4500.577999239689,0.688560029
AYGAZ.IS,AYGAZ,Utilities,Utilities - Regulated Gas,"Aygaz A.S. purchases liquid petroleum gas (LPG) to retailers for distribution to customers in Turkey. The company operates through three segments: LPG and Gas, Cargo Transportation and Distribution, and Petroleum Products and Electricity. It manufactures LPG cylinders and tanks, regulators, and other supplementary materials; and retails and wholesales fuel and lubricants through its autogas stations. In addition, the company engages in the purchase and sale of natural gas; arrangement for modulation and storing of natural gas; and building of necessary facilities. Further, it purchases, builds, rents, and operates vessels, that transports crude oil, petroleum products, liquid petroleum gas, natural gas and solid, liquid, and liquefied products; and offers cargo delivery and distribution services. Aygaz A.S. was incorporated in 1961 and is headquartered in Sisli, Turkey.",1.075,5.7833447,0.73099476,0.6393989,8.196,219800992,56342577152,4617943040,162.5,221.8,120.2,226778,4.05,Bilinmiyor,36025380864,163.89999389648438,-10.33917333,9.048563252552446,-5.533144728,41.66305904292517,,2846.0414543565817,0.5004818040188433
AZTEK.IS,AZTEK TEKNOLOJI,Technology,Electronics & Computer Distribution,"Aztek Teknoloji Urunleri Ticaret Anonim Sirketi engages in the purchase, import, sale, and export of consumer electronics in Turkey. The company provides cables, adapters, bags, covers, and similar accessory products for audio and video products. The company also offers maintenance and repair services. It distributes products of Apple, Beats by Dr.Dre, JBL, Harman Kardon, Thule, Case Logic, Marshall, Urbanears, and Hama Brands. The company was incorporated in 1996 and is headquartered in Istanbul, Turkey.",Bilinmiyor,62.053333,3.48562,0.7899896,3.511,100000000,5891216896,206824304,46.12,175,45.48,1252167,4.17,Bilinmiyor,4654000128,46.540000915527344,-1.230895648,-16.44524187,-27.33801921,-52.73673102,,306.5144975651561,0.720037222
BAGFS.IS,BAGFAS,Basic Materials,Agricultural Inputs,"Bagfas Bandirma Gubre Fabrikalari A.S. engages in the production and sale of fertilizers in Turkey and internationally. The company offers chemical fertilizers, including ammonium nitrate; calcium ammonium nitrate; di ammonium phosphate; AS; sulphur composite fertilizer; sulphur zinc composite fertilizer; sulphur composite; sulphur trioxide zinc NPK compound; and special formulations. It also provides phosphoric acid, sulfuric acid, and other specialty products. The company also exports its products. Bagfas Bandirma Gubre Fabrikalari A.S. was founded in 1969 and is headquartered in Istanbul, Turkey.",Bilinmiyor,Bilinmiyor,0.58025944,1.3226577,-90.674,135000000,2218941440,-2011992064,22.06,34.04,19.38,764838,0.5499999999999999,Bilinmiyor,2934899968,21.739999771118164,-1.895307217,3.919692599587622,-4.899391117,-28.72131223,,282.1901335408025,0.5632932789434805
BAHKM.IS,BAHADIR KIMYA,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,,Bilinmiyor,Bilinmiyor,Bilinmiyor,44.52,90.25,39.62,1657986,,Bilinmiyor,2461799936,,5.566029978121272,-7.90123513,-20.21390457,,,,
BAKAB.IS,BAK AMBALAJ,Consumer Cyclical,Packaging & Containers,"Bak Ambalaj Sanayi ve Ticaret A.S. manufactures and sells printed, unprinted, and laminated packaging materials for various sectors worldwide. It provides its packaging products for snack foods, cookies and cakes, sugar and chocolate confectionaries, breads and fresh foods, instant foods and drinks, dried foods and pastas, coffee and tea products, chemicals and hygiene products, and other products. The company was founded in 1973 and is headquartered in Izmir, Turkey. Bak Ambalaj Sanayi ve Ticaret A.S. is a subsidiary of Bakioglu Holding A.S.",0.447,Bilinmiyor,1.4210547,0.8516769,0.8099999999999999,72000000,3082295808,24977254,36.56,94.5,28.98,557302,,Bilinmiyor,2625120000,36.459999084472656,-8.161213139,6.359394348906379,-12.90014679,-45.74404652,,428.8116762967243,0.6277592555228525
BALAT.IS,BALATACILAR BALATACILIK,Consumer Cyclical,Auto Parts,"Balatacilar Balatacilik Sanayi Ve Ticaret A.S. produces and sells friction materials in Turkey. The company's products include brake blocks for heavy vehicles and trailers applications; brake linings for light commercial vehicles; fiber based clutch facings; and industrial friction materials for various applications. It offers brake pads for heavy vehicles trucks and trailers applications; and theethid clutch, fibre clutch facings, and industrial friction materials. The company sells its products under the ERKA, Besyildiz, SAFETEX, and FiveStar brands. It exports its products to Algeria, Tunisia, Egypt, Iran, Iraq, Syria, Jordan, Macedonia, Kazakhstan, New Guinea, and Portugal. Balatacilar Balatacilik Sanayi Ve Ticaret A.S. was incorporated in 1988 and is based in Izmir, Turkey.",0.318,29.261086,8.743009,146.38097,,27757000,11263526,-83650680,58,66.8,14.5,67016,,Bilinmiyor,1648765824,59.400001525878906,4.854368801285455,12.927762830836157,57.97873387351884,269.17340560947787,,7418.987330693577,0.8479837510321095
BANVT.IS,BANVIT,Consumer Defensive,Packaged Foods,"Banvit Bandirma Vitaminli Yem Sanayii Anonim Sirketi operates as a food company in Turkey. It engages in the marketing, slaughtering, production of animal feed, breeding eggs, one-day-old chicks, live turkeys and chickens, and processed turkeys and chickens. The company also offers energy production services. It also exports its products. The company was incorporated in 1968 and is headquartered in Balikesir, Turkey. Banvit Bandirma Vitaminli Yem Sanayii Anonim Sirketi is a subsidiary of TBQ Foods GmbH.",Bilinmiyor,9.110678,3.3217776,1.3651414,15.207999999999998,100024000,22255783936,3385227008,302.25,445.5,88.6,520551,,Bilinmiyor,30382290944,303.75,-9.395973154,-11.3785558,-4.405979544,231.60480901734482,,1655.7804242516852,0.46546397865672234
BARMA.IS,BAREM AMBALAJ,Consumer Cyclical,Packaging & Containers,"Barem Ambalaj Sanayi ve Ticaret Anonim Sirketi provides packaging solutions in Turkey. It offers corrugated cardboard, sheet, box paper, and offset printed box products. The company serves food, electronics, hygiene, toys, textile, cosmetics, agriculture, automotive, and other sectors. It also exports its products to 17 countries. The company was incorporated in 1993 and is headquartered in Izmir, Turkey.",Bilinmiyor,20.935066,1.6248363,2.2496212,10.737000400000001,262500000,1880983424,201961904,16.58,23.5,16.01,1077038,,Bilinmiyor,4231500288,,-5.620603564,-16.2597359,-11.33112999,-21.97482595,,,
BASCM.IS,BASTAS BASKENT CIMENTO,Basic Materials,Building Materials,"Bastas Baskent Cimento Sanayi ve Ticaret A.S. produces cement, clinker, aggregate, lime, ready-mixed concrete, and waste processing products in Turkey. The company was incorporated in 1967 and is based in Ankara, Turkey. Bastas Baskent Cimento Sanayi ve Ticaret A.S. is a subsidiary of Parficim S.A.",0.193,7.871621,1.5430462,1.1755165,8.1020005,660000000,6540954624,529930816,11.71,18,7.95,97566,,Bilinmiyor,7688999936,11.649999618530273,-2.100840403,7.670979178521491,-14.40117625,39.52094714131854,,1662.6356474078675,0.6700305768013476
BASGZ.IS,BASKENT DOGALGAZ GMYO,Utilities,Utilities - Regulated Gas,"Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi A.S. provides natural gas distribution services in Ankara. The company was incorporated in 2007 and is headquartered in Ankara, Turkey. Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi A.S. is a subsidiary of Torunlar Enerji Sanayi Ve Tic.A.S.",0.543,16.111732,1.0685835,0.93425584,24.153,700000000,21608642560,5219144704,28.64,34.14,16.9,1082064,10.13,Bilinmiyor,20188000256,28.84000015258789,-2.567568308,7.621625415116984,-8.950783454,82.61871269611432,,304.64335346942886,0.5121021819463067
BAYRK.IS,BAYRAK TABAN SANAYI,Consumer Cyclical,Footwear & Accessories,"Bayrak EBT Taban Sanayi Ve Ticaret Anonim Sirketi manufactures and sells PVC and thermo shoe soles in Turkey. The company was incorporated in 1993 and is headquartered in Istanbul, Turkey.",-0.441,Bilinmiyor,5.881373,5.63874,-34.771,47125000,147507456,-51290332,17.68,80.3,11.87,3670375,,Bilinmiyor,831756224,17.649999618530273,-0.842694522,-12.53716872,-73.25757634,33.91501676672287,,880.5555603386445,0.6600529889598602
BEGYO.IS,BATI EGE GMYO,Real Estate,Real Estate - Development,"Bati Ege Gayrimenkul Yatirim Ortakligi A.S., an investment company, invests in the real estate sector in Denizli and the rest of Aegean Region. The company was founded in 2011 and is based in Denizli, Turkey.",Bilinmiyor,9.587301,0.96531886,33.695847,298.839,815000000,146089216,436570944,6.1,6.69,2.81,81344044,,Bilinmiyor,4922599936,,47.31707566696436,86.41975136032885,80.29851145668916,113.42756624329817,,,
BERA.IS,BERA HOLDING,Industrials,Conglomerates,"Bera Holding A.S. operates in the paper and cardboard, machinery, oil, construction and building materials, marble, textiles, tourism, and food sectors worldwide. The company engages in the paper production facilities; cardboard and packaging services; production and marketing of bearings under the URB brand; operation of the storage, filling, and distribution of liquid petroleum gas (LPG) as cylinder gas, bulk gas, and autogas; and provides flour, semolina, pulses, pasta, biscuits, marshmallows, and wafers. It also offers construction services to housing complexes, shopping centers, hotels, hospitals, administrative buildings, factory buildings, industrial facility buildings, social and cultural facility buildings, schools, and concept projects; marble and minerals; and knitted fabrics, as well as operates hotels. The company was formerly known as Kombassan Holding A.S. and changed its name to Bera Holding A.S. in July 2017. The company was founded in 1988 and is based in Konya, Turkey.",1.224,2.5440142,0.659727,0.8343209,27.351999999999997,683200000,11832665088,3236433408,14.4,22.76,10.33,7613429,0.33000002,Bilinmiyor,9872239616,14.449999809265137,-2.889786975,-6.834303056,-22.56162954,37.619045802525115,,693.3283012683722,0.6162570488289527
BEYAZ.IS,BEYAZ FILO,Industrials,Rental & Leasing Services,"Beyaz Filo Oto Kiralama A.S. provides fleet renting services in Turkey. It also engages in the automobile auction and retailing businesses; and maintaining the authorized dealership of Opel, Peugeot, Citroen, Renault, and Dacia brands, as well as provides after sales services. The company was founded in 1993 and is based in Ankara, Turkey.",0.783,34.435898,3.2529976,0.24501161,0.6179999599999999,99687504,10928487424,67576560,28.28,36,17.25,2282293,0.38,Bilinmiyor,2677606400,26.860000610351562,3.307694655198317,3.9473701692742376,19.271758722774337,55.46048945,,816.8324714,0.6462685164411754
BFREN.IS,BOSCH FREN SISTEMLERI,Consumer Cyclical,Auto Parts,"Bosch Fren Sistemleri Sanayi ve Ticaret A.S. engages in the production and sale of hydraulic brake systems for automotive and light commercial vehicles in Turkey and internationally. It offers servo brakes, and brake master cylinders and support systems. The company was incorporated in 1975 and is headquartered in Bursa, Turkey. Bosch Fren Sistemleri Sanayi ve Ticaret A.S. is a subsidiary of Robert Bosch GmbH.",2.967,37.817974,167.08292,14.946866,8.842,30636700,1371254144,121240168,670,1385,622.5,60581,0.27999999999999997,Bilinmiyor,20495951872,669,-8.041237113,-8.356164384,-24.74690664,-14.4664104,,3231.5214220725456,0.6152844580693688
BIENY.IS,BIEN YAPI URUNLERI,Industrials,Building Products & Equipment,"Bien Yapi Urunleri Sanayi Turizm ve Ticaret A.S. manufactures and sells ceramics, floor tiles, and sanitary ware in Turkey. The company exports its products. Bien Yapi Urunleri Sanayi Turizm Ve Ticaret Anonim Sirketi was incorporated in 1997 and is based in Ankara, Turkey.",Bilinmiyor,19.220125,1.1992308,1.6171428,-4.6269998,361000000,6822007296,-315666912,30.6,56.05,26.98,955867,,Bilinmiyor,11032160256,,-5.795312085,-3.717707353,-10.22327073,-20.04186685,,,
BIGCH.IS,BUYUK SEFLER BIGCHEFS,Consumer Cyclical,Restaurants,"Büyük Sefler Gida Turizm Tekstil Danismanlik Organizasyon Egitim Sanayi Ve Ticaret A.S., together with its subsidiaries, operates a chain of restaurants under the BigChefs, NumNum, and Buselik brands in Turkey and internationally. It also franchises its restaurants. Büyük Sefler Gida Turizm Tekstil Danismanlik Organizasyon Egitim Sanayi Ve Ticaret A.S. was founded in 2007 and is headquartered in Istanbul, Turkey.",Bilinmiyor,23.236643,2.9353907,1.3871846,5.8020000000000005,107000000,2347978752,136225632,30.68,38.84,19.04,1219194,2.0399998999999998,Bilinmiyor,3257080064,,4.965519082957301,17.984501682976468,-5.112223203,60.60330417998795,,,
BIMAS.IS,BIM MAGAZALAR,Consumer Defensive,Grocery Stores,"BIM Birlesik Magazalar A.S., together with its subsidiaries, operates retail stores in Turkey, Morocco, and Egypt. Its stores sell meat, breakfast and dairy, legumes and bakery, and cosmetics and paper products, as well as beverages, snacks and sweets, fruits and vegetables, frozen foods, oils, and cleaning supplies. The company was incorporated in 1995 and is headquartered in Istanbul, Turkey.",-0.09,18.295412,2.9041023,0.80224615,4.382,597000000,3.65011E+11,15995336704,491,631,289.75,3486731,2.6300002,Bilinmiyor,2.92829E+11,490.5,3.358788414368017,-14.13660315,-10.76798683,66.16127813695796,,1161.4559654150798,0.3665689303631523
BINBN.IS,BIN ULASIM TEKNOLOJILERI,Bilinmiyor,Bilinmiyor,Bilinmiyor,Bilinmiyor,45.245102,Bilinmiyor,Bilinmiyor,,Bilinmiyor,Bilinmiyor,Bilinmiyor,92.2,139.3,84.05,3056148,,Bilinmiyor,1569100032,,-2.842102051,0.3260902736497962,,,,,
BINHO.IS,1000 YATIRIMLAR HOL.,Industrials,Conglomerates,"1000 Yatirimlar Holding Anonim Sirketi, an investment company, focuses on transportation, software, and energy solutions. It engages in the micro mobility, electric charging station, renewable energy, software, toy, and moped rental businesses. The company was incorporated in 2022 and is based in Istanbul, Turkey.",Bilinmiyor,Bilinmiyor,1.2889978,4.674786,81.56700000000001,47000000,3063937024,2499168512,311,710,215,605145,,Bilinmiyor,14323250176,,4.545454545454546,-19.37830688,-23.8125,34.84513274336283,,,
BIOEN.IS,BIOTREND CEVRE VE ENERJI,Utilities,Utilities - Renewable,"Biotrend Cevre ve Enerji Yatirimlari A.S. engages in the solid waste management and power generation activities in Turkey. It is involved in the landfill gas, biomethanization, biomass, waste disposal, waste separation, waste fuel preparation and supply, steam sales and greenhouse, and compost activities. The company also offers ATY, an alternative solid fuel obtained from the non-recyclable combustible material remaining after the recyclable materials; and carbon certificates. It operates 19 plants with installed capacity of 99.2MWe. The company was founded in 2017 and is based in Istanbul, Turkey. Biotrend Cevre ve Enerji Yatirimlari A.S. operates as a subsidiary of Doganlar Investment Holding A.S.",-0.033,17.060606,2.974639,3.950896,-1.446,500000000,2137489792,-30902054,17.36,23.88,14.44,4336522,,Bilinmiyor,8444999680,16.889999389648438,-5.536911731,-4.034096457,-25.79086459,0.1779286963872148,,224.49567026357323,0.508528516
BIZIM.IS,BIZIM MAGAZALARI,Consumer Cyclical,Department Stores,"Bizim Toptan Satis Magazalari A.S. engages in the wholesale and retail of fast moving consumer goods in Turkey. The company sells food, non-alcoholic beverages, tobacco products, cleaning and personal care products, and paper products to grocery stores, markets, specialized retailers, wholesalers, hotels, restaurants and cafes, gas station markets, school canteens, SEC Market business partners, and individual customers, as well as to tax payers and legal entities, markets, buffets, catering companies, and corporate customers. It wholesales various product types consisting of branded and private label products. The company sells its products through Bizimtoptan.com.tr, a digital sales platform. The company was incorporated in 2001 and is based in Istanbul, Turkey. Bizim Toptan Satis Magazalari A.S. is a subsidiary of Yildiz Holding A.S.",-0.036,Bilinmiyor,0.43403128,0.088063546,-4.259,80476096,25477892096,-1085082624,27.62,51.65,25.66,293775,2.93,Bilinmiyor,2243673600,27.87999916,-1.969062457,-6.442953441,-19.04761826,-20.70534903,,168.32583238994064,0.47273640107674475
BJKAS.IS,BESIKTAS FUTBOL YAT.,Communication Services,Entertainment,"Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S. engages in professional football activities in Turkey. The company invests in professional football teams; and establishes and operates football facilities. Besiktas Futbol Yatirimlari Sanayi ve Ticaret A.S. was founded in 1995 and is based in Istanbul, Turkey.",0.603,13.71875,Bilinmiyor,1.3588872,12.279,1200000000,3876701184,476004512,4.3,89.75,4.1,31017986,,Bilinmiyor,5267999744,4.389999866485596,4.275530325597094,-27.67710474,-86.03689634,-90.6516185,,65.03758364032713,0.9365827261297668
BLCYT.IS,BILICI YATIRIM,Consumer Cyclical,Textile Manufacturing,"Bilici Yatirim Sanayi ve Ticaret A.S. engages in the textile, real estate, and tourism businesses in Turkey. The company is involved in the production of textiles, fabrics, cloths, dyeing, finishing, and sizing operations or outsourcing; and semi-finished products and raw materials, including cotton weaving and various clothing made of polyester, gin, pressed sawgin, and yarn. It also engages in the purchase, lease, and building of real estate properties; tourism activities; and generation and sale of electricity. In addition, the company produces and distributes citrus, pomegranate, plum, and peach, as well as industrial products comprising corn, cotton, soybean and wheat. Bilici Yatirim Sanayi ve Ticaret A.S. was founded in 1950 and is based in Adana, Turkey.",Bilinmiyor,Bilinmiyor,0.56336987,3.6468997,16.977999999999998,100000000,417340800,70856232,15.16,28.3,13.07,1637597,,Bilinmiyor,1522000000,15.220000267028809,-14.10834731,-22.93670751,-17.10239782,13.582094778433692,,779.6755040071777,0.4962483146287883
BMSCH.IS,BMS CELIK HASIR,Basic Materials,Steel,"Bms Celik Hasir Sanayi Ve Ticaret Anonim Sirketi operates in the steel business. It manufactures and trades in steel mesh, cold drawn bar iron, high carbon steel wire, cold drawn coil, galvanized wire, knitting wire, fencing wire, stirrups, kilt, and ready-made iron products. The company was incorporated in 2004 and is based in Manisa, Turkey.",-0.616,Bilinmiyor,1.708202,0.6020003,0.438,36085000,2144718720,9393006,37,45.14,15.2,3599389,1.28,Bilinmiyor,1291121280,35.779998779296875,8.227457026675534,56.92982445866851,48.959192745278116,130.83870180191533,,595.2270881,0.5591522232372848
BMSTL.IS,BMS BIRLESIK METAL,Basic Materials,Steel,"Bms Birlesik Metal Sanayi ve Ticaret A.S. manufactures and sells galvanized steel wires in Turkey. The company offers hot-dip galvanized, Zn-AI coated steel, stranded, and black annealed wires. It serves automotive, energy, agriculture, construction, environmental protection system, and industrial application sectors. It also exports its products to various countries, including Europe, North America, South America, and internationally. Bms Birlesik Metal Sanayi ve Ticaret A.S. was founded in 1968 and is based in Istanbul, Turkey.",Bilinmiyor,Bilinmiyor,2.3377023,2.6636574,-4.5739997,150000000,1707426688,-78097536,27.7,31.82545,11.688,2257332,,Bilinmiyor,4547999744,30.31999969482422,-0.902418815,29.962343411345376,48.52839766399687,159.9247080310672,,550.8650372397258,0.5154309650282332
BNTAS.IS,BANTAS AMBALAJ,Consumer Cyclical,Packaging & Containers,"Bantas Bandirma Ambalaj Sanayi ve Ticaret A.S. engages in tin packaging production activities in Turkey. The company offers cheese cans; oil cans for olive and vegetable oil companies; olive/pickle tin boxes; and thinner/antifreeze/mineral oil cans. It also serves the mineral oil and paint industries. The company exports its products to various countries. The company was incorporated in 1986 and is based in Balikesir, Turkey.",0.359,22.692308,1.4567901,1.8090398,31.583,120938000,788854080,249139984,11.78,16.16,6,3451218,,Bilinmiyor,1427068416,11.800000190734863,3.1468585975201635,10.590441484171063,-3.040261982,90.32258957655475,,749.6507297889494,0.5785048
BOBET.IS,BOGAZICI BETON SANAYI,Basic Materials,Building Materials,"Bogazici Beton Sanayi Ve Ticaret Anonim Sirketi produces and sells ready-made concrete and aggregates under the Bosphorus Concrete brand in Turkey. It offers standard concretes; special and technical concretes, such as fibre reinforced, colored, pressed concrete, and ready plaster; boutique concretes for industrial field, marine structure, and construction and precast production sites. Bogazici Beton Sanayi Ve Ticaret Anonim Sirketi was founded in 1997 and is headquartered in Istanbul, Turkey.",-0.22,12.307692,1.8702513,1.1290698,10.3920005,380000000,7538949632,783460928,22.24,41.68,18.61,4380076,7.85,Bilinmiyor,8512000000,22.399999618530273,0.44843221924212057,7.615573987859945,-17.19266442,-15.55960036,,584.2166444559882,0.5039911032345539
BORLS.IS,BORLEASE OTOMOTIV,Industrials,Rental & Leasing Services,"Borlease Otomotiv A.S. offers car rental services in Turkey. It provides fleet leasing and management services, mobility services, and vehicle and driver support services. The company was incorporated in 2013 and is headquartered in Istanbul, Turkey.",Bilinmiyor,Bilinmiyor,3.4942997,4.7705445,18.080999000000002,168700000,2254380800,407614688,67.25,68,28.1,1374095,1.37,Bilinmiyor,10754624512,,28.012050153924566,74.18033513054915,84.97963602190974,117.70662805747894,,,
BORSK.IS,BOR SEKER,Consumer Defensive,Confectioners,"Bor Seker Anonim Sirketi engages in the production and sale of beet sugar in Turkey. It offers crystal candy, cube sugar, stick candy, fresh pulp, packaged pulp, molasses. The company was founded in 1983 and is based in Istanbul, Turkey.",Bilinmiyor,7.9496403,1.236018,1.3548104,21.024999,240000000,3914939136,823127488,22.2,55.6,20.52,2185904,,Bilinmiyor,5304000000,,-2.091219169,-7.784522591,-27.40483792,-22.8272109,,,
BOSSA.IS,BOSSA,Consumer Cyclical,Textile Manufacturing,"Bossa Ticaret ve Sanayi Isletmeleri T.A.S. engages in the production, marketing, and sale of textile products in Turkey and internationally. The company offers various denim fabrics. The company was incorporated in 1951 and is headquartered in Adana, Turkey.",0.589,Bilinmiyor,1.272153,2.1139343,7.536,1265410048,4339880960,327066976,7.5,10.34,4.32,22671992,,Bilinmiyor,9174222848,7.25,-7.289004593,-5.966278027,-13.79310188,65.71428571428571,,1709.7175290530142,0.5481386306928209
BRISA.IS,BRISA,Consumer Cyclical,Auto Parts,"Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S. engages in the manufacture, marketing, and sale of vehicle tires in Turkey and internationally. The company offers tires for radial, passenger car, pickup truck, minibus, tread rubber, automobiles, light commercial vehicles, buses, trucks, and agricultural and construction machinery under the Bridgestone, Lassa, Dayton, Firestone, and Kinesis brand names; tire retreading services under the Bandag brand name; and vehicle maintenance services. It provides digital fleet services through Filofix road assistance mobile application and fleet services under the Probox, Mobilfix, and Propratik brands. The company offers its products and services through its stores and e-commerce platform under Lastik.com.tr website. The company was formerly known as Lassa Lastik Sanayi ve Ticaret A.S. and changed its name to Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S. in 1988. Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S. was incorporated in 1974 and is headquartered in Istanbul, Turkey.",0.503,11.693768,1.613416,1.0588588,13.41,305116992,24867903488,3170253824,86,157.4,72.05,246625,3.85,Bilinmiyor,26331596800,86.30000305175781,-11.9387724,-10.89312916,-24.43081843,21.655724673694937,,1117.0923442724054,0.47666266921669076
BRKO.IS,BIRKO MENSUCAT,Consumer Cyclical,Textile Manufacturing,"Birko Birlesik Koyunlulular Mensucat Ticaret ve Sanayi A.S. manufactures and sells carpets under the Koyunlu Carpet brand in Turkey and internationally. It offers range of carpets, including lyre, Tryana, Kemerhisar, Silk Authentic, Silk, enjoy, alliance, and Aria. The company was incorporated in 1972 and is based in Nigde, Turkey.",-0.053,6.104651,1.6013421,47.48051,,140000000,30960072,-365704640,10.19,12.35,3.14,1265921,,Bilinmiyor,1470000000,10.5,26.201927705982197,12.90322349090528,16.666666666666664,183.78378012652294,,3287.0967481436514,0.7213534372301882
BRKSN.IS,BERKOSAN YALITIM,Industrials,Conglomerates,"Berkosan Yalitim Ve Tecrit Maddeleri Üretim Ve Ticaret A.S. manufactures and sells insulation and isolation materials in Turkey and internationally. The company offers polyethylene, polypropylene, and cross-linked foams. It also provides a range of services, such as interstory screed application, wall and roof insulation, soundproofing and thermal insulation, refrigerated cooler vehicle insulation, air conditioning inside and outside tools, sound and vibration isolation, and heat and noise prevention in mechanical installations. The company sells its products under the Foamex, Airpack, Polyberk, Proberk, Airfoam, and Reflekt X brand names. In addition, it exports its products. The company provides its services to the companies in the construction, packaging, fitting, automotive, shoes and bags, sea products, and sports/entertainment sectors. Berkosan Yalitim Ve Tecrit Maddeleri Üretim Ve Ticaret A.S. was incorporated in 1993 and is headquartered in Istanbul, Turkey.",Bilinmiyor,19.709402,1.3929325,1.4825908,9.043,31200000,485280224,43885444,22.98,56,18.88,1002337,0.72000003,Bilinmiyor,719472000,23.059999465942383,-2.535927242,-22.46020885,-36.03447851,17.43746181365354,,1770.7058840481518,0.6539959399370566
BRKVY.IS,BIRIKIM VARLIK YONETIM,Financial Services,Asset Management,"Birikim Varlik Yonetim Anonim Sirketi operates as an asset management company. The company engages in the purchase and sale of receivables and other assets of banks, private financial institutions, and other financial institutions; collection of purchased receivables from the debtor; and development, sale, operation, and leasing of real estate or other goods. It also provides consultancy and intermediary services in restructuring the receivables and other assets of banks and other financial institutions; restructuring and improvement activities, including additional financing and capital to customers; and consultancy services to companies in the areas of corporate and financial restructuring. The company was Incorporated in 2016 and is based in Istanbul, Turkey. Birikim Varlik Yonetim Anonim Sirketi is a subsidiary of Altinhas Yatrim Holding.",Bilinmiyor,10.507526,4.1611314,2.8494275,29.902,56000000,960249024,287135008,49.94,241.4,39.54,3126642,0.5499999999999999,Bilinmiyor,2736160000,48.86000061035156,1.8340997843082054,2.0041733901699317,-13.75110451,10.28981010926809,,226.32078635314878,0.806569612
